rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,concentric_duration,eccentric_duration,rom_deg,elbow_start_deg,elbow_peak_deg,elbow_end_deg,mean_vis_arm,concentric_velocity_mean_deg_s,eccentric_velocity_mean_deg_s,rep_velocity_rom_per_sec_deg_s,rep_velocity_path_deg_s,concentric_path_velocity_deg_s,eccentric_path_velocity_deg_s,concentric_speed_peak_deg_s,eccentric_speed_peak_deg_s,rep_speed_peak_deg_s,concentric_speed_mean_abs_deg_s,eccentric_speed_mean_abs_deg_s,rep_speed_mean_abs_deg_s,concentric_velocity_cv,rep_velocity_cv,concentric_accel_mean_abs_deg_s2,eccentric_accel_mean_abs_deg_s2,rep_accel_mean_abs_deg_s2,concentric_accel_peak_abs_deg_s2,eccentric_accel_peak_abs_deg_s2,rep_accel_peak_abs_deg_s2,velocity_reversal_count,movement_fragmentation_index,sticking_min_speed_deg_s,sticking_angle_deg,sticking_time_from_rep_start_sec,sticking_duration_sec,sticking_ratio_concentric,has_sticking_point,shoulder_path_length_norm,elbow_path_length_norm,wrist_path_length_norm,shoulder_displacement_norm,elbow_displacement_norm,wrist_displacement_norm,wrist_path_efficiency,rep_number_in_series,series_progress_norm,vbt_concentric_velocity_loss_from_first_pct,vbt_concentric_velocity_loss_from_previous_pct,vbt_concentric_velocity_loss_from_best_pct,vbt_concentric_velocity_slope_per_rep,vbt_rep_velocity_loss_from_first_pct,vbt_rep_velocity_loss_from_previous_pct,vbt_rep_velocity_loss_from_best_pct,vbt_rep_velocity_slope_per_rep,vbt_path_velocity_loss_from_first_pct,vbt_path_velocity_loss_from_previous_pct,vbt_path_velocity_loss_from_best_pct,vbt_path_velocity_slope_per_rep,rep_duration_increase_from_first_pct,rep_duration_increase_from_previous_pct,rep_duration_slope_per_rep,concentric_duration_increase_from_first_pct,concentric_duration_increase_from_previous_pct,concentric_duration_slope_per_rep,eccentric_duration_increase_from_first_pct,eccentric_duration_increase_from_previous_pct,eccentric_duration_slope_per_rep,rom_loss_from_first_pct,rom_loss_from_best_pct,rom_slope_deg_per_rep,elbow_start_extension_loss_from_first_deg,elbow_start_slope_deg_per_rep,elbow_peak_flexion_loss_from_first_deg,elbow_peak_slope_deg_per_rep
0,LEFT,36,56,103,36,56,103,1.2,1.8666666666666667,3.433333333333333,2.2333333333333334,0.6666666666666667,1.5666666666666664,92.78371041436894,111.83307794488624,19.0493675305173,109.39215589376481,0.9978382458873822,139.1755656215534,57.665609593562245,41.544944961657734,81.99693975117154,139.1755656215534,57.665609593562245,231.3516625398223,163.40725434911963,231.3516625398223,132.1631361499561,56.658960772152795,80.63630409595321,0.53553054668645,0.8667197700911853,682.8254036290369,221.8974799178449,352.4293748397985,1025.2150231600303,1064.0861916444942,1064.0861916444942,1,0.44776119402985076,191.52402317288806,43.935459848647135,0.43333333333333335,0.0,0.0,0,0.08576351668377306,0.10691445941838042,0.386283410622692,0.009382430579554181,0.014201751416526692,0.012219786876605838,0.03163425231466048,1,0.0,0.0,,0.0,-0.9705619574132517,0.0,,0.0,0.01127086518592278,0.0,,0.0,0.010985576449898156,0.0,,-0.030769230769230913,0.0,,-0.042857142857142906,0.0,,0.012087912087912057,0.0,0.0,-1.1362540432995545,0.0,1.2871075020702716,0.0,2.423361545369826
1,LEFT,103,200,228,103,200,228,3.433333333333333,6.666666666666667,7.6,4.166666666666666,3.233333333333334,0.9333333333333327,92.93077575825842,109.39215589376481,16.46138013550639,115.58572741248894,0.9973934776883907,28.74147703863662,106.2046577967671,22.303386181982024,46.09322952845785,28.741477038636624,106.2046577967671,118.9155222861283,182.19873464263696,182.19873464263696,28.41592287040997,102.43899147240825,45.63798225032996,1.2704866749296375,1.145528815855612,77.68262708117098,402.04093646976276,148.38297959385025,575.82918275275,652.8603279378632,652.8603279378632,1,0.24000000000000005,58.76784112668065,80.06601372928256,2.4666666666666672,0.0,0.0,0,0.08643552976130552,0.1480160334723402,0.39704527187019667,0.007259114463082105,0.012299389154016254,0.015057847493460862,0.037924762137410924,2,0.08333333333333333,79.34876218316654,79.34876218316654,79.34876218316654,-0.9705619574132517,46.31504217172702,46.31504217172702,46.31504217172702,0.01127086518592278,43.786646588554966,43.786646588554966,43.786646588554966,0.010985576449898156,86.56716414034302,86.56716414034302,-0.030769230769230913,384.9999994225001,384.9999994225001,-0.042857142857142906,-40.42553188909012,-40.42553188909012,0.012087912087912057,-0.15850340887544384,0.0,-1.1362540432995545,2.440922051121433,1.2871075020702716,-2.587987395010913,2.423361545369826
2,LEFT,228,245,260,228,245,260,7.6,8.166666666666666,8.666666666666666,1.0666666666666664,0.5666666666666664,0.5,85.70864192103053,115.58572741248894,29.877085491458402,115.10079891564433,0.9974531633685333,151.25054456652452,170.44742684837186,80.35185180096614,160.24908313614048,151.25054456652452,170.44742684837186,254.31072898976606,256.4142319601359,256.4142319601359,143.28513298988537,159.23950134109552,154.8263332467855,0.6018381968748886,0.5263266958651517,936.8372166078539,988.6968624591375,935.7542522009999,1802.3293756545734,1802.3293756545734,1802.3293756545734,1,0.9375000000000002,233.92073501779214,83.23935236103952,0.2666666666666666,0.0,0.0,0,0.06592481657815961,0.1112238030416193,0.390347300410246,0.013543879451486357,0.012572813659530101,0.007982456495335917,0.02044962649145143,3,0.16666666666666666,-8.676076789023929,-426.2448563758183,0.0,-0.9705619574132517,-93.40945540832854,-260.26749993360374,0.0,0.01127086518592278,-95.43300472124825,-247.66295348154435,0.0,0.010985576449898156,-52.238805946758745,-74.39999998214401,-0.030769230769230913,-14.999999977500044,-82.47422677861623,-0.042857142857142906,-68.08510633952014,-46.4285713788265,0.012087912087912057,7.625334729194526,7.771520013926459,-1.1362540432995545,-3.7526494676026942,1.2871075020702716,10.8277179609411,2.423361545369826
3,LEFT,260,274,288,260,274,288,8.666666666666666,9.133333333333333,9.6,0.9333333333333336,0.4666666666666668,0.4666666666666668,84.74153669284112,115.10079891564433,30.359262222803203,112.52222490541143,0.9974059017225244,181.5890071989452,176.06349146273186,90.7945035994726,178.8262493308386,181.58900719894524,176.0634914627319,282.02293509280787,274.6000416372947,282.02293509280787,169.29981785503114,162.3862037834726,171.51528659947746,0.5685523446662837,0.5330606027908293,1287.8318610915974,1266.295367459182,1235.640945396208,2578.7695282556997,2478.3210117716562,2578.7695282556997,3,3.2142857142857135,247.5504509957957,88.79943240035571,0.20000000000000107,0.0,0.0,0,0.06044936638212664,0.13121394182401924,0.4063441906250123,0.009950310881593963,0.004693269427578984,0.006179138325078786,0.015206660923525043,4,0.25,-30.47477578960794,-20.058415471606015,0.0,-0.9705619574132517,-118.54524944510665,-12.996155737945218,0.0,0.01127086518592278,-118.08893096782032,-11.592681737092914,0.0,0.010985576449898156,-58.20895519781687,-12.499999988281207,-0.030769230769230913,-29.99999995499999,-17.647058792387487,-0.042857142857142906,-70.21276591263013,-6.66666665333331,0.012087912087912057,8.66765694702773,8.812192730029404,-1.1362540432995545,-3.2677209707580914,1.2871075020702716,11.309894692285901,2.423361545369826
4,LEFT,288,300,314,288,300,314,9.6,10.0,10.466666666666669,0.8666666666666689,0.40000000000000036,0.46666666666666856,78.89212535541583,112.52222490541143,33.630099549995606,115.06851701418185,0.9973684909902972,197.2303133885394,174.51089456611268,91.02937541009496,184.99678017646346,197.2303133885394,174.51089456611268,286.38262072735995,273.7160373172725,286.38262072735995,180.07565479388273,163.2333624150073,176.52476428835533,0.5264719674345015,0.5158183661778777,1413.509293225881,1310.7289384591154,1308.9178237980686,2695.7736462753273,2695.7736462753273,2695.7736462753273,2,2.3076923076923017,270.0250450645947,86.30948146163358,0.16666666666666785,0.0,0.0,0,0.05851239497049811,0.11078705249506932,0.4055042006004224,0.009296799904579796,0.007176172071535744,0.00526374774993194,0.012980747775579164,5,0.3333333333333333,-41.71331907817174,-8.613575475068135,0.0,-0.9705619574132517,-119.11059334153849,-0.25868505394981745,0.0,0.01127086518592278,-125.61424943003942,-3.4505733183356764,0.0,0.010985576449898156,-61.19402982334585,-7.142857135203864,-0.030769230769230913,-39.99999993999995,-14.285714255101986,-0.042857142857142906,-70.21276591263002,3.8064789334152237e-13,0.012087912087912057,14.972008552755693,15.106567537120727,-1.1362540432995545,-0.6891469605251928,1.2871075020702716,14.580732019478305,2.423361545369826
5,LEFT,314,327,342,314,327,342,10.466666666666669,10.9,11.4,0.9333333333333318,0.4333333333333318,0.5,81.99467430780814,115.06851701418185,33.07384270637371,116.27366664695063,0.9973283416923434,189.2184791718656,166.39964788115384,87.851436758366,176.99410526612712,189.2184791718656,166.39964788115384,283.7079175572311,270.34969729765123,283.7079175572311,173.42167051216023,154.51869615685985,168.87043363570913,0.5592068252505482,0.541822737776583,1326.6773374385405,1141.8919671624376,1192.1989404326912,2332.6200252203303,2269.984926190525,2332.6200252203303,1,1.0714285714285732,278.2416729363747,62.46241274209749,0.26666666666666394,0.0,0.0,0,0.07270587277052977,0.10563901519099314,0.40867711131479023,0.016999077309995583,0.010576232431891505,0.007914243817615697,0.019365517662964054,6,0.4166666666666667,-35.95668056132027,4.06217182287291,4.06217182287291,-0.9705619574132517,-111.46119422791487,3.4911133218009684,3.4911133218009684,0.01127086518592278,-115.85452554946083,4.325845510748643,4.325845510748643,0.010985576449898156,-58.208955197816955,7.692307683431496,-0.030769230769230913,-34.999999947500235,8.33333331249952,-0.042857142857142906,-68.08510633952014,7.142857127550585,0.012087912087912057,11.628157634848883,11.768008349333885,-1.1362540432995545,-3.2354390692956088,1.2871075020702716,14.02447517585641,2.423361545369826
6,LEFT,342,358,380,342,358,380,11.4,11.933333333333334,12.666666666666666,1.2666666666666657,0.5333333333333332,0.7333333333333325,90.38068580134276,116.27366664695063,25.892980845607873,116.80016915645355,0.9973327211844614,169.46378587751772,123.96434769660787,71.35317300106013,143.1220058780436,169.46378587751772,123.96434769660789,265.44613756327135,221.72385477500416,265.44613756327135,158.13303673801184,118.1104644891391,138.44136365289617,0.5496229706275921,0.5792469068203917,999.6002603565561,627.5876090815941,761.6006905676612,1725.2925027993306,1725.2925027993306,1725.2925027993306,1,0.7894736842105269,242.54326889906588,82.90178904675471,0.2333333333333325,0.0,0.0,0,0.06701544174424663,0.08848845636552778,0.41779637236589595,0.010171898561754265,0.008226878441846159,0.005966468250499042,0.014280804346653717,7,0.5,-21.762599002547983,10.440150127356455,14.078225113490262,-0.9705619574132517,-71.74935017050866,18.7797312894225,21.615222910380012,0.01127086518592278,-74.54554561623536,19.137416659703035,22.63540709100465,0.010985576449898156,-43.28358207017157,35.71428567602053,-0.030769230769230913,-19.999999970000026,23.076923023669046,-0.042857142857142906,-53.191489327750155,46.666666573333174,0.012087912087912057,2.5899207978086336,2.7440747546558577,-1.1362540432995545,-4.440588702064389,1.2871075020702716,6.843613315090572,2.423361545369826
7,LEFT,380,416,471,380,416,471,12.666666666666666,13.866666666666667,15.7,3.033333333333333,1.200000000000001,1.8333333333333321,102.50338582500906,116.80016915645355,14.296783331444487,62.140234522407944,0.9978146429943003,85.41948818750747,26.09642792234372,33.79232499725573,49.564891323946995,85.41948818750748,26.09642792234372,151.45951582783186,51.1223006100297,151.45951582783186,83.05892298597264,25.617961993435813,48.99075478762165,0.617933548046318,0.9027515375404667,272.3422714064722,64.63957540704793,147.60687179404164,631.511691249317,225.30787532555087,631.511691249317,1,0.32967032967032966,107.04980397196971,41.61132099052055,0.7000000000000011,0.0,0.0,0,0.05601192188363567,0.1357240611119429,0.31614551801989116,0.00588446719885596,0.01648257278201128,0.1132915516105708,0.35835254701742364,8,0.5833333333333334,38.62465167185552,49.594252396944846,56.69048701464068,-0.9705619574132517,18.6608021056963,52.640753625238126,62.87756029781897,0.01127086518592278,39.55275468236684,65.3687837726117,73.2077005462471,0.010985576449898156,35.82089550634884,139.47368410041568,-0.030769230769230913,79.99999988000013,124.99999976562526,-0.042857142857142906,17.021276584879978,149.99999979545467,0.012087912087912057,-10.475626990047736,0.0,-1.1362540432995545,-4.967091211567308,1.2871075020702716,-4.752584199072814,2.423361545369826
8,LEFT,536,564,584,536,564,584,17.866666666666667,18.8,19.466666666666665,1.5999999999999979,0.9333333333333336,0.6666666666666643,102.02300794804772,119.66583092611675,17.642822978069038,123.91235475088644,0.9964565590125362,109.31036565862253,159.40429765922667,63.76437996752991,130.18283732554087,109.31036565862253,159.40429765922667,201.18306477214844,269.1455060909607,269.1455060909607,105.14823671907817,151.24926770547077,126.9525059984835,0.6052818432225984,0.5900658072570077,433.0416856159942,821.4259933259422,577.8236530440879,1494.79574354831,1652.7422265026194,1652.7422265026194,1,0.6250000000000009,154.52902091113947,85.77651312397391,0.46666666666666146,0.0,0.0,0,0.0742019973533732,0.12510953538579056,0.41131675014834157,0.019938671184593908,0.023053506896890258,0.027331028326057886,0.06644764239774076,9,0.6666666666666666,21.458651760701894,-27.96888389027996,44.5772996143198,-0.9705619574132517,-53.48288468270665,-88.69485888236828,29.951864790277245,0.01127086518592278,-58.7654828582712,-162.65131193986352,29.629673985861128,0.010985576449898156,-28.358208942526268,-47.25274723716949,-0.030769230769230913,39.999999940000016,-22.22222220370375,-0.042857142857142906,-57.446808473970265,-63.63636360165299,0.012087912087912057,-9.957887534694192,0.4686458628564162,-1.1362540432995545,-7.832752981230513,1.2871075020702716,-1.4065445524482634,2.423361545369826
9,LEFT,584,602,619,584,602,619,19.466666666666665,20.066666666666663,20.633333333333333,1.1666666666666679,0.5999999999999979,0.56666666666667,95.79786940864228,123.91235475088644,28.11448534224415,118.50727649868003,0.9973191155327689,159.66311568107105,159.51669027606238,82.11245949312188,159.5919947700668,159.66311568107108,159.51669027606238,262.68140726405227,271.4074305584396,271.4074305584396,150.90017426960148,152.4266930126917,155.26229391265477,0.5488814882993138,0.5461835096196259,874.1134404315759,1053.522852060862,934.5435602376715,1927.9985367392821,1974.4729088489262,1974.4729088489262,3,2.571428571428569,212.26948465886426,93.97346617358662,0.2666666666666657,0.0,0.0,0,0.07230876704431213,0.12760516950839573,0.4222576804722918,0.011587878262428073,0.013785753314725405,0.01563748943668046,0.037033049154227476,10,0.75,-14.720651551063385,-46.06402121024832,19.04737515336769,-0.9705619574132517,-97.64729395580584,-28.774810536301647,9.79564659946712,0.01127086518592278,-94.63164753882208,-22.59065637873463,13.732555443411712,0.010985576449898156,-47.76119400846508,-27.083333316406076,-0.030769230769230913,-9.99999998500033,-35.71428567602065,-0.042857142857142906,-63.829787193299914,-14.9999999774992,0.012087912087912057,-3.2485863960168495,6.541751145419558,-1.1362540432995545,-12.079276806000195,1.2871075020702716,9.06511781172685,2.423361545369826
