rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,concentric_duration,eccentric_duration,rom_deg,elbow_start_deg,elbow_peak_deg,elbow_end_deg,mean_vis_arm,concentric_velocity_mean_deg_s,eccentric_velocity_mean_deg_s,rep_velocity_rom_per_sec_deg_s,rep_velocity_path_deg_s,concentric_path_velocity_deg_s,eccentric_path_velocity_deg_s,concentric_speed_peak_deg_s,eccentric_speed_peak_deg_s,rep_speed_peak_deg_s,concentric_speed_mean_abs_deg_s,eccentric_speed_mean_abs_deg_s,rep_speed_mean_abs_deg_s,concentric_velocity_cv,rep_velocity_cv,concentric_accel_mean_abs_deg_s2,eccentric_accel_mean_abs_deg_s2,rep_accel_mean_abs_deg_s2,concentric_accel_peak_abs_deg_s2,eccentric_accel_peak_abs_deg_s2,rep_accel_peak_abs_deg_s2,velocity_reversal_count,movement_fragmentation_index,sticking_min_speed_deg_s,sticking_angle_deg,sticking_time_from_rep_start_sec,sticking_duration_sec,sticking_ratio_concentric,has_sticking_point,shoulder_path_length_norm,elbow_path_length_norm,wrist_path_length_norm,shoulder_displacement_norm,elbow_displacement_norm,wrist_displacement_norm,wrist_path_efficiency,rep_number_in_series,series_progress_norm,vbt_concentric_velocity_loss_from_first_pct,vbt_concentric_velocity_loss_from_previous_pct,vbt_concentric_velocity_loss_from_best_pct,vbt_concentric_velocity_slope_per_rep,vbt_rep_velocity_loss_from_first_pct,vbt_rep_velocity_loss_from_previous_pct,vbt_rep_velocity_loss_from_best_pct,vbt_rep_velocity_slope_per_rep,vbt_path_velocity_loss_from_first_pct,vbt_path_velocity_loss_from_previous_pct,vbt_path_velocity_loss_from_best_pct,vbt_path_velocity_slope_per_rep,rep_duration_increase_from_first_pct,rep_duration_increase_from_previous_pct,rep_duration_slope_per_rep,concentric_duration_increase_from_first_pct,concentric_duration_increase_from_previous_pct,concentric_duration_slope_per_rep,eccentric_duration_increase_from_first_pct,eccentric_duration_increase_from_previous_pct,eccentric_duration_slope_per_rep,rom_loss_from_first_pct,rom_loss_from_best_pct,rom_slope_deg_per_rep,elbow_start_extension_loss_from_first_deg,elbow_start_slope_deg_per_rep,elbow_peak_flexion_loss_from_first_deg,elbow_peak_slope_deg_per_rep
0,LEFT,109,157,192,109,157,192,3.633333333333333,5.233333333333333,6.4,2.7666666666666675,1.6000000000000005,1.166666666666667,102.65567446590865,155.76715767947306,53.11148321356441,67.51685119521578,0.9853219423029158,64.15979654119288,12.347458269986882,37.10446065032841,42.366527890280715,64.15979654119288,12.478616597601162,98.77905103828857,34.79790238696194,98.77905103828857,62.821805224231134,11.988593796556039,41.768722613253615,0.46238823110962857,0.8076970430022911,139.78167430192707,150.88303165868376,142.11624966099845,514.8727562946517,553.1734956681971,553.1734956681971,2,0.72289156626506,78.452567050781,81.14723940116286,1.1000000000000005,0.0,0.0,0,0.05742205362881486,0.1635077687581736,0.42428245395740743,0.03991853159826402,0.0731624133217678,0.2360451185340443,0.5563395712747061,1,0.0,0.0,,0.0,4.590836417684586,0.0,,0.0,1.137165360505427,0.0,,0.0,4.7073692873707005,0.0,,-0.0341391941391942,0.0,,-0.04153846153846155,0.0,,0.007399267399267344,0.0,0.0,0.19774626125686365,0.0,0.1423455332071946,0.0,-0.05540072804966955
1,LEFT,461,503,515,461,503,515,15.366666666666667,16.766666666666666,17.166666666666668,1.8000000000000007,1.3999999999999986,0.40000000000000213,95.90661540587087,153.45820918144855,57.55159377557768,74.1834947914433,0.9897668910749031,68.50472528990782,41.579752539663815,53.28145300326157,62.5213980120758,68.50472528990782,41.579752539663815,175.21266762763844,65.2844834401975,175.21266762763844,66.83464178241225,40.23750336345485,61.31429953333518,0.9387522384730178,0.927302232120439,247.00921666423596,479.89762281343883,281.1138748679922,1398.8022953972793,1398.8022953972793,1398.8022953972793,2,1.1111111111111107,145.30013845215217,120.96040126428402,0.9333333333333336,0.0,0.0,0,0.04609355838095934,0.11387746292570769,0.3353599554773145,0.025096911860779145,0.05032824235354441,0.21728519220710918,0.6479163318645165,2,0.07692307692307693,-6.772042591901969,-6.772042591901969,0.0,4.590836417684586,-43.59851098483489,-43.59851098483489,0.0,1.137165360505427,-47.572626611073034,-47.572626611073034,0.0,4.7073692873707005,-34.93975902351574,-34.93975902351574,-0.0341391941391942,-12.499999992187618,-12.499999992187618,-0.04153846153846155,-65.71428565795901,-65.71428565795901,0.007399267399267344,6.574462731929503,6.574462731929503,0.19774626125686365,2.308948498024506,0.1423455332071946,4.440110562013267,-0.05540072804966955
2,LEFT,573,603,643,573,603,643,19.1,20.1,21.433333333333334,2.333333333333332,1.0,1.3333333333333321,102.19632551809391,150.35649601295535,48.16017049486143,149.89283305883743,0.9951988578962048,102.19632551809391,76.29949692298206,43.79842522204027,87.39813774945857,102.19632551809391,76.29949692298206,225.0510153047892,165.8926451716552,225.0510153047892,99.57809565729539,74.3122807062891,86.02694762894514,0.729832681547469,0.7227849486029005,468.15546847454294,233.70582701826677,322.93364824217053,1338.11181479062,1166.4694052656657,1338.11181479062,1,0.42857142857142877,161.91039313998635,77.31410236515154,0.5999999999999979,0.0,0.0,0,0.08529041802648162,0.18845186852796916,0.6197012480462702,0.004012049456298165,0.00312908762871113,0.008851097543552964,0.014282846083427756,3,0.15384615384615385,-59.284054854954825,-49.18142520112806,0.0,4.590836417684586,-18.040862080209763,17.797990194566996,17.797990194566996,1.137165360505427,-106.29053665841151,-39.789161036002454,0.0,4.7073692873707005,-15.662650596748506,29.629629613168607,-0.0341391941391942,-37.49999997656252,-28.571428551020333,-0.04153846153846155,14.285714273469255,233.33333274999794,0.007399267399267344,0.44746571507141025,0.44746571507141025,0.19774626125686365,5.410661666517711,0.1423455332071946,-4.9513127187029795,-0.05540072804966955
3,LEFT,643,671,723,643,671,723,21.433333333333334,22.366666666666667,24.1,2.666666666666668,0.9333333333333336,1.7333333333333343,112.98144237270563,149.89283305883743,36.911390686131796,150.95050609445937,0.9915987204131765,121.05154539932742,65.79179735095818,42.36804088976459,85.13270916788741,121.05154539932742,65.79179735095818,244.97940010228513,171.49508246951757,244.97940010228513,116.51633049484413,64.46389657077047,83.84860088323833,0.7266537762933694,0.8301689331618576,527.028848873419,247.01845468365025,333.7560837576045,1341.5719311966482,1341.5719311966482,1341.5719311966482,1,0.37499999999999983,222.4542527573135,69.18342821792338,0.6333333333333293,0.0,0.0,0,0.12353769124920175,0.3062718129928149,0.6680726062314851,0.00698819382912713,0.012173533938243412,0.02392760644195808,0.035815877224678834,4,0.23076923076923078,-88.67195958254216,-18.44999786974795,0.0,4.590836417684586,-14.185842206138451,3.2658350728172345,20.48257226135349,1.137165360505427,-100.94332343531092,2.592078778657124,2.592078778657124,4.7073692873707005,-3.6144578300188566,14.285714279591947,-0.0341391941391942,-41.666666640625,-6.666666659999976,-0.04153846153846155,48.57142852979596,29.999999977500185,0.007399267399267344,-10.058643090524454,0.0,0.19774626125686365,5.874324620635633,0.1423455332071946,-16.200092527432616,-0.05540072804966955
4,LEFT,723,752,807,723,752,807,24.1,25.066666666666663,26.9,2.799999999999997,0.9666666666666615,1.8333333333333357,108.97961462035549,150.95050609445937,41.97089147410388,153.41921102515974,0.9913951642373029,112.7375323658856,60.78999248239403,38.921290935841284,78.72426220407556,112.73753236588561,60.78999248239403,212.91386108900224,187.23079305494866,212.91386108900224,109.14042155294791,59.547000982958856,77.59410545086128,0.6051075283084248,0.8123114610269819,508.6482078685936,209.88632187842373,303.13394515789844,1386.7236724433965,1471.7178023885413,1471.7178023885413,1,0.3571428571428575,150.8345018753355,80.50723983673585,0.5999999999999979,0.0,0.0,0,0.10841813073829924,0.2729058819694114,0.7310353085065895,0.01069455079850892,0.016178831387815992,0.01622664107322636,0.02219679526338514,5,0.3076923076923077,-75.71366875009797,6.868159349760219,6.868159349760219,4.590836417684586,-4.896527947369115,8.135259222416945,26.95152113489046,1.137165360505427,-85.81712055114501,7.527596650423389,9.924554193761985,4.7073692873707005,1.2048192766728238,4.999999998124847,-0.0341391941391942,-39.58333330859409,3.571428567601456,-0.04153846153846155,57.14285709387771,5.769230765902445,0.007399267399267344,-6.160341537169857,3.5420221837081898,0.19774626125686365,4.8166515850136875,0.1423455332071946,-11.140591739460532,-0.05540072804966955
5,LEFT,807,844,850,807,844,850,26.9,28.133333333333333,28.33333333333333,1.43333333333333,1.2333333333333343,0.19999999999999574,94.91291908005007,153.41921102515974,58.506291945109666,82.14185031295678,0.9912341503482879,76.95642087571622,118.17779183923807,66.21831563724439,82.70824007992846,76.95642087571622,118.17779183923807,136.90540145021305,228.70381381371226,228.70381381371226,75.17879764935951,100.5326661304567,80.65040064680105,0.5218952167405386,0.5935247091973546,271.39631752637325,1826.8161503672807,493.92513400661954,1368.067222281887,2568.734838712071,2568.734838712071,1,0.6976744186046527,83.92149110958076,105.25592754484829,0.7666666666666693,0.0,0.0,0,0.03893286046007914,0.11716925369337287,0.33351667826626596,0.03340096607673067,0.07730831120708258,0.25051694182361894,0.7511376736116823,6,0.38461538461538464,-19.944926611648473,31.73841997332857,36.42673406422446,4.590836417684586,-78.46456861480789,-70.13391396934594,0.0,1.137165360505427,-95.2207183302135,-5.0606735004701555,5.3661299774153415,4.7073692873707005,-48.19277106691841,-48.8095237920919,-0.0341391941391942,-22.916666652343714,27.586206868015058,-0.04153846153846155,-82.85714278612282,-89.0909090423143,0.007399267399267344,7.542452403207845,15.992470013695517,0.19774626125686365,2.3479466543133185,0.1423455332071946,5.394808731545254,-0.05540072804966955
6,LEFT,1125,1199,1248,1125,1199,1248,37.5,39.96666666666667,41.6,4.100000000000001,2.4666666666666686,1.6333333333333329,96.00405125058487,151.0376886010168,55.033637350431945,152.15543447802227,0.9927385239511407,38.92056131780465,59.4623247719941,23.4156222562402,48.798222353422716,41.73685723842275,59.4623247719941,116.10530758903246,160.26033731903226,160.26033731903226,39.91813067055204,57.93809160265979,47.405358293570686,0.8940510026777134,0.8225954917233054,231.2524025269303,198.63409847117433,207.4353886343548,1553.646922418494,1553.646922418494,1553.646922418494,5,1.2195121951219507,76.33732542591292,106.71415937070141,1.4666666666666686,0.0,0.0,0,0.11199499764503659,0.3031717410460323,0.6728897872585051,0.010945844042931207,0.006803973007511541,0.0212951071688364,0.03164724383111409,7,0.46153846153846156,39.338084881223644,49.42519301780525,67.84794346070416,4.590836417684586,36.89270280121462,64.63875284119051,64.63875284119051,1.137165360505427,-15.181075210238513,40.9995638806066,44.16560397001517,4.7073692873707005,48.19277106691828,186.04651149810783,-0.0341391941391942,54.166666632812564,99.99999991891892,-0.04153846153846155,39.9999999657142,716.6666630833506,0.007399267399267344,6.479547526101882,15.026707718923529,0.19774626125686365,4.729469078456248,0.1423455332071946,1.9221541368675332,-0.05540072804966955
7,LEFT,1248,1279,1319,1248,1279,1319,41.6,42.63333333333333,43.96666666666667,2.366666666666667,1.0333333333333314,1.3333333333333357,99.2713001288741,152.15543447802227,52.88413434914817,151.836113005872,0.9905924330706948,96.06900012471705,74.21398399254274,41.9456197727637,83.7563149798301,96.06900012471704,74.21398399254274,211.28991204415138,167.61937335975017,211.28991204415138,93.01541383039246,72.35538963117375,82.54152006143416,0.8086525214901658,0.7722449251919269,401.22403978227345,249.82901707982913,314.422524361378,907.9103830529668,783.2662904084345,907.9103830529668,1,0.42253521126760557,179.76732641238982,117.86548956591783,0.5333333333333314,0.0,0.0,0,0.09342986843511647,0.1978663875471274,0.5906220447671968,0.014799366817658536,0.0060173061759329835,0.012621718940886517,0.021370213070630594,8,0.5384615384615384,-49.73395382034915,-146.83354214447283,20.637939971762474,4.590836417684586,-13.04737769382443,-79.13519150999265,36.65556218174476,1.137165360505427,-97.69454602407399,-71.63804528063721,4.166934059884323,4.7073692873707005,-14.45783132007549,-42.27642275391633,-0.0341391941391942,-35.41666664453139,-58.10810808455087,-0.04153846153846155,14.28571427346956,-18.367346927530026,0.007399267399267344,3.2968214904919906,12.134862111675707,0.19774626125686365,3.6117232014507863,0.1423455332071946,-0.2273488644162427,-0.05540072804966955
8,LEFT,1319,1347,1377,1319,1347,1377,43.96666666666667,44.9,45.9,1.93333333333333,0.93333333333333,1.0,96.2779089994211,151.836113005872,55.55820400645089,150.11679005562488,0.9914445725537963,103.15490249938011,94.55858604917398,49.79891844797652,98.70853192168728,103.15490249938013,94.55858604917398,218.11729957118928,142.70988341623638,218.11729957118928,99.92511098010826,91.30723699661834,96.91489720008055,0.7696500503437677,0.6162840655008517,471.18454901475405,296.058103042141,377.22613368504085,804.8712673291856,1165.95445593282,1165.95445593282,1,0.5172413793103458,181.79315578429282,120.75515495881146,0.43333333333333,0.0,0.0,0,0.09675977729040657,0.222779284773997,0.6120587960438311,0.00675100415585024,0.03078739182380699,0.028349389733694406,0.04631808237531519,9,0.6153846153846154,-60.77810102241084,-7.375846907316998,14.784315921586657,4.590836417684586,-34.21275387058785,-18.72257155233389,24.79585448679828,1.137165360505427,-132.9870698301951,-17.85204726984396,0.0,4.7073692873707005,-30.120481916824062,-18.309859147193173,-0.0341391941391942,-41.66666664062523,-9.67741934547362,-0.04153846153846155,-14.285714273469408,-24.99999998125013,0.007399267399267344,6.212774402980944,14.784315921578258,0.19774626125686365,3.9310446736010647,0.1423455332071946,2.446720792886481,-0.05540072804966955
9,LEFT,1377,1393,1415,1377,1393,1415,45.9,46.43333333333333,47.16666666666666,1.2666666666666586,0.5333333333333314,0.7333333333333272,75.31430458906327,150.11679005562488,74.8024854665616,151.03645469020006,0.9928837719126644,141.21432110449413,103.95541257768967,59.458661517681904,119.64337406266002,141.21432110449413,103.95541257768967,228.2755193769524,161.6792821082638,228.2755193769524,132.5141710155533,99.38119557132214,116.13093185501697,0.5535862205785727,0.5129164234329746,857.4077374759956,463.0344852247939,616.7756843977495,1370.518160327476,1171.4730057499578,1370.518160327476,2,1.5789473684210626,190.50901378338926,97.56366747166658,0.3333333333333286,0.0,0.0,0,0.07299756491992558,0.22073873544807604,0.506119754355178,0.0018427195415830551,0.0013679082576814627,0.004798497339048339,0.009480952477663842,10,0.6923076923076923,-120.09783184494441,-36.89540456399905,0.0,4.590836417684586,-60.24666704474295,-19.39749570987704,10.208133587225293,1.137165360505427,-182.400706450819,-21.208746329415366,0.0,4.7073692873707005,-54.21686745028337,-34.48275860285405,-0.0341391941391942,-66.66666662500013,-42.85714281122449,-0.04153846153846155,-37.14285711102095,-26.666666640000614,0.007399267399267344,26.634056050802084,33.33922544469896,0.19774626125686365,5.650367623848183,0.1423455332071946,21.691002252997194,-0.05540072804966955
