rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,RIGHT,73,103,136,73,103,136,2.433333333333333,3.433333333333333,4.533333333333333,2.1,136.013727283395,146.19924684782518,10.18551956443016,0.9864967667187254
1,RIGHT,136,165,196,136,165,196,4.533333333333333,5.5,6.533333333333333,2.0,130.92934396862248,139.4104325911762,8.481088622553727,0.9828095511009133
2,RIGHT,196,221,253,196,221,253,6.533333333333333,7.366666666666666,8.433333333333334,1.9000000000000004,125.06638643604472,130.1606366260123,5.0942501899675685,0.9806889871071125
3,RIGHT,253,278,315,253,278,315,8.433333333333334,9.266666666666667,10.5,2.0666666666666664,127.19018143619175,135.82818764838342,8.638006212191677,0.9779536175349405
4,RIGHT,315,349,386,315,349,386,10.5,11.633333333333333,12.866666666666667,2.366666666666667,123.50735789076589,132.77639624474628,9.269038353980386,0.9802668235368199
5,RIGHT,386,424,469,386,424,469,12.866666666666667,14.133333333333333,15.633333333333333,2.7666666666666657,135.76062075276207,149.59237716055048,13.831756407788408,0.9807800513411326
6,RIGHT,469,499,509,469,499,509,15.633333333333333,16.633333333333333,16.966666666666665,1.3333333333333321,136.3158001059129,149.65150585247406,13.33570574656115,0.9818249262445342
7,RIGHT,556,605,616,556,605,616,18.53333333333333,20.166666666666668,20.53333333333333,2.0,153.1623295609491,167.72944046831256,14.567110907363451,0.987681164767573
8,RIGHT,664,729,782,664,729,782,22.133333333333333,24.3,26.066666666666663,3.93333333333333,150.26243953988993,160.88476513991566,10.622325600025743,0.9891894392940512
9,RIGHT,782,845,904,782,845,904,26.066666666666663,28.166666666666668,30.133333333333333,4.06666666666667,156.43973566816425,164.298950076485,7.859214408320761,0.9820984637511133
