rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,LEFT,53,77,107,53,77,107,1.7666666666666666,2.566666666666667,3.566666666666667,1.8000000000000003,151.19673215611834,169.33084540315838,18.134113247040027,0.9954104539119835
1,LEFT,138,162,195,138,162,195,4.6,5.4,6.5,1.9000000000000004,147.28197669945504,173.41123456952843,26.12925787007339,0.9963486115822846
2,LEFT,221,244,272,221,244,272,7.366666666666666,8.133333333333333,9.066666666666666,1.7000000000000002,144.3663675889408,173.44985005175565,29.08348246281486,0.9959914233440009
3,LEFT,301,325,355,301,325,355,10.033333333333331,10.833333333333334,11.833333333333334,1.8000000000000025,145.63603839376492,171.6337410571688,25.9977026634039,0.99532514593818
4,LEFT,383,407,438,383,407,438,12.766666666666667,13.566666666666666,14.6,1.8333333333333321,142.3161619125507,171.06966498172642,28.75350306917571,0.9953688407937685
5,LEFT,467,490,520,467,490,520,15.566666666666666,16.333333333333332,17.333333333333332,1.7666666666666657,138.44585158900333,167.54341043241834,29.097558843415005,0.9953699741098616
6,LEFT,545,566,594,545,566,594,18.166666666666668,18.866666666666667,19.8,1.6333333333333329,141.77255460871805,171.21163502074802,29.439080412029977,0.9951946767171224
7,LEFT,628,648,672,628,648,672,20.933333333333334,21.6,22.4,1.466666666666665,134.4755236574669,163.7100812494582,29.234557591991294,0.9957296583387587
8,LEFT,707,727,756,707,727,756,23.566666666666663,24.23333333333333,25.2,1.6333333333333364,141.1647431027929,168.0681991897163,26.90345608692339,0.9951977491378784
9,LEFT,784,805,842,784,805,842,26.133333333333333,26.83333333333333,28.066666666666663,1.93333333333333,140.31437414583925,166.45454474096073,26.140170595121468,0.9947554496048535
