rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,RIGHT,113,191,278,113,191,278,3.7666666666666666,6.366666666666666,9.266666666666667,5.500000000000001,165.83375690934324,174.29153054956566,8.45777364022244,0.9720562729969563
1,RIGHT,331,423,501,331,423,501,11.033333333333331,14.1,16.7,5.666666666666668,171.1539346121215,179.51251242961177,8.35857781749028,0.9775389389917399
2,RIGHT,537,646,709,537,646,709,17.9,21.53333333333333,23.633333333333333,5.733333333333334,171.12995326895086,179.72149383592551,8.591540566974656,0.9725928552348259
3,RIGHT,737,845,896,737,845,896,24.566666666666663,28.166666666666668,29.866666666666667,5.300000000000004,172.22764225470726,179.31611812512241,7.088475870415141,0.9776393802215656
4,RIGHT,959,1026,1086,959,1026,1086,31.966666666666665,34.2,36.2,4.233333333333338,170.56291453186736,177.85154718500982,7.288632653142448,0.9762908928096294
5,RIGHT,1121,1244,1333,1121,1244,1333,37.36666666666667,41.46666666666667,44.43333333333333,7.066666666666663,169.76491510239782,179.8292452860559,10.064330183658093,0.9773549835819969
6,RIGHT,1369,1475,1516,1369,1475,1516,45.63333333333333,49.16666666666666,50.53333333333333,4.899999999999999,170.84305145741567,179.71321476041706,8.870163303001398,0.9685503079279049
7,RIGHT,1583,1734,1806,1583,1734,1806,52.766666666666666,57.8,60.2,7.433333333333337,169.88751676582135,179.9385367044226,10.051019938601252,0.9770938087964343
8,RIGHT,1960,2057,2174,1960,2057,2174,65.33333333333333,68.56666666666666,72.46666666666667,7.13333333333334,162.476570745648,172.8459803860991,10.369409640451085,0.9693586635959242
9,RIGHT,2250,2403,2515,2250,2403,2515,75.0,80.1,83.83333333333333,8.833333333333329,160.7757299083418,175.3752977586172,14.599567850275394,0.9779004698857329
