rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,LEFT,80,117,148,80,117,148,2.6666666666666665,3.9,4.933333333333334,2.266666666666667,111.50127023284071,144.46146472355008,32.96019449070938,0.9971938389510925
1,LEFT,148,181,212,148,181,212,4.933333333333334,6.033333333333333,7.066666666666666,2.133333333333333,111.69893881671632,142.8895882555942,31.190649438877873,0.9965868497506165
2,LEFT,212,241,269,212,241,269,7.066666666666666,8.033333333333333,8.966666666666667,1.9000000000000004,101.55912945523485,140.56634885617143,39.007219400936584,0.9966443009760189
3,LEFT,269,298,326,269,298,326,8.966666666666667,9.933333333333334,10.866666666666667,1.9000000000000004,99.86012367308884,137.01832108589247,37.15819741280363,0.996297467371513
4,LEFT,326,354,383,326,354,383,10.866666666666667,11.8,12.766666666666667,1.9000000000000004,91.86800166901254,130.34754432555857,38.47954265654603,0.9961664063492041
5,LEFT,383,410,437,383,410,437,12.766666666666667,13.666666666666666,14.566666666666666,1.799999999999999,98.86546406579151,134.647758071507,35.78229400571549,0.9963458960706538
6,LEFT,437,465,495,437,465,495,14.566666666666666,15.5,16.5,1.9333333333333336,86.8994159526953,129.92723715629305,43.02782120359774,0.9963422663467751
7,LEFT,495,526,558,495,526,558,16.5,17.533333333333335,18.6,2.1000000000000014,86.70135104061612,123.91873209605038,37.21738105543425,0.9964340447137753
8,LEFT,558,591,624,558,591,624,18.6,19.7,20.8,2.1999999999999993,98.25918444920916,135.9019526473319,37.64276819812275,0.9957505710682464
9,LEFT,624,660,699,624,660,699,20.8,22.0,23.3,2.5,98.78639013710836,139.3857590599939,40.59936892288553,0.9959874960937
10,LEFT,699,740,782,699,740,782,23.3,24.666666666666668,26.066666666666663,2.766666666666662,103.94132874863075,136.4863180165041,32.544989267873355,0.9961796178231165
11,LEFT,782,827,872,782,827,872,26.066666666666663,27.566666666666663,29.066666666666663,3.0,92.68046394114738,134.3106362959985,41.630172354851126,0.9962039937029828
12,LEFT,872,922,962,872,922,962,29.066666666666663,30.73333333333333,32.06666666666667,3.000000000000007,94.64803758977578,130.00396353239697,35.35592594262119,0.9960878157353663
13,LEFT,962,1014,1054,962,1014,1054,32.06666666666667,33.8,35.13333333333333,3.066666666666663,100.95181509374271,134.25421066563467,33.30239557189197,0.995960904705909
14,LEFT,1054,1098,1130,1054,1098,1130,35.13333333333333,36.6,37.66666666666666,2.5333333333333243,92.31083481449943,130.57458566703178,38.263750852532354,0.9956039690868161
15,LEFT,1130,1172,1208,1130,1172,1208,37.66666666666666,39.06666666666667,40.266666666666666,2.6000000000000085,85.21331470017884,130.05496944649752,44.841654746318675,0.9959087824519677
16,LEFT,1208,1243,1273,1208,1243,1273,40.266666666666666,41.43333333333333,42.43333333333333,2.1666666666666643,83.47575987908624,126.95832656171905,43.4825666826328,0.996568567825086
17,LEFT,1273,1309,1338,1273,1309,1338,42.43333333333333,43.63333333333333,44.6,2.1666666666666714,88.53478191139345,126.87986303091525,38.345081119521794,0.996540557555478
18,LEFT,1338,1370,1398,1338,1370,1398,44.6,45.66666666666666,46.6,2.0,77.98342729027621,122.45292620680956,44.46949891653336,0.9966672007503404
19,LEFT,1398,1430,1459,1398,1430,1459,46.6,47.66666666666666,48.63333333333333,2.0333333333333314,83.6403700802526,125.20986004041725,41.56948996016466,0.9959892886941151
20,LEFT,1459,1492,1518,1459,1492,1518,48.63333333333333,49.73333333333333,50.6,1.9666666666666686,85.43683043023219,126.15474087471051,40.71791044447831,0.9964359641075133
21,LEFT,1518,1552,1581,1518,1552,1581,50.6,51.73333333333333,52.7,2.1000000000000014,79.70504396916598,123.45613169018507,43.75108772101908,0.9966542568678658
22,LEFT,1581,1618,1650,1581,1618,1650,52.7,53.93333333333333,55.0,2.299999999999997,83.2251445123668,124.71535128389904,41.49020677153224,0.9969035282021478
