rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,LEFT,11,47,87,11,47,87,0.3666666666666666,1.5666666666666669,2.9,2.533333333333333,113.86580825673312,148.5845517158832,34.71874345915009,0.998462577144821
1,LEFT,87,113,148,87,113,148,2.9,3.7666666666666666,4.933333333333334,2.0333333333333337,86.5542619449001,123.61554575920968,37.061283814309576,0.9987110011680153
2,LEFT,148,172,207,148,172,207,4.933333333333334,5.733333333333333,6.9,1.9666666666666668,87.88854354715446,123.03142624876901,35.142882701614546,0.9985431747304071
3,LEFT,207,230,263,207,230,263,6.9,7.666666666666667,8.766666666666667,1.8666666666666671,82.25645815587356,120.88229519549724,38.625837039623676,0.998538763550987
4,LEFT,263,289,328,263,289,328,8.766666666666667,9.633333333333333,10.933333333333334,2.166666666666666,77.99171081002818,121.1806721403265,43.18896133029831,0.9986698386645075
5,LEFT,328,355,394,328,355,394,10.933333333333334,11.833333333333334,13.133333333333333,2.1999999999999993,79.0653818805599,119.21117825307948,40.145796372519584,0.9985533926024368
6,LEFT,394,426,467,394,426,467,13.133333333333333,14.2,15.566666666666666,2.4333333333333336,82.51981444034885,118.69608475916408,36.17627031881522,0.9984298474616832
7,LEFT,467,499,553,467,499,553,15.566666666666666,16.633333333333333,18.433333333333334,2.866666666666667,73.91557703614237,110.30457386280413,36.38899682666177,0.9985125978330999
8,LEFT,553,592,641,553,592,641,18.433333333333334,19.73333333333333,21.366666666666667,2.9333333333333336,85.26733844161453,121.29962126129004,36.032282819675515,0.9983647590719358
9,LEFT,641,681,726,641,681,726,21.366666666666667,22.7,24.2,2.833333333333332,81.20630975677179,112.49802800430379,31.291718247532007,0.9977746224680613
10,LEFT,726,754,802,726,754,802,24.2,25.133333333333333,26.73333333333333,2.5333333333333314,78.17974745805509,115.44591003801116,37.26616257995608,0.9979122069490935
11,LEFT,802,829,867,802,829,867,26.73333333333333,27.633333333333333,28.9,2.166666666666668,91.24532053588653,128.1725669817319,36.92724644584537,0.9978215640241449
12,LEFT,867,895,930,867,895,930,28.9,29.83333333333333,31.0,2.1000000000000014,87.30571072699607,123.12828157528931,35.82257084829323,0.9981800395374496
13,LEFT,930,957,992,930,957,992,31.0,31.9,33.06666666666667,2.06666666666667,93.109379432075,129.2660790767479,36.15669964467289,0.9979319067859145
14,LEFT,992,1020,1059,992,1020,1059,33.06666666666667,34.0,35.3,2.233333333333327,107.3006214276615,139.2559326036022,31.955311175940686,0.9978884233563553
