rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,RIGHT,59,86,103,59,86,103,1.9666666666666663,2.8666666666666667,3.433333333333333,1.4666666666666668,93.16666487280975,145.0959041283959,51.92923925558615,0.915553409081918
1,RIGHT,103,124,141,103,124,141,3.433333333333333,4.133333333333334,4.7,1.266666666666667,45.417473024750265,152.39246074563633,106.97498772088606,0.8203845518267051
2,RIGHT,141,153,170,141,153,170,4.7,5.1,5.666666666666667,0.9666666666666668,26.534638694323633,156.3623667278978,129.82772803357418,0.799871308936013
3,RIGHT,170,203,220,170,203,220,5.666666666666667,6.766666666666667,7.333333333333333,1.666666666666666,93.05207567427132,153.9603257806871,60.90825010641577,0.8776585868760651
4,RIGHT,220,238,255,220,238,255,7.333333333333333,7.933333333333334,8.5,1.166666666666667,36.20971242094005,152.4926537544512,116.28294133351115,0.8324203700930983
5,RIGHT,255,273,292,255,273,292,8.5,9.1,9.733333333333333,1.2333333333333325,42.771210076759886,158.79096287960175,116.01975280284186,0.7505386482205308
6,RIGHT,292,316,335,292,316,335,9.733333333333333,10.533333333333331,11.166666666666666,1.4333333333333336,104.03820054226952,151.07735345921915,47.03915291694964,0.8694104784817405
7,RIGHT,409,434,458,409,434,458,13.633333333333333,14.466666666666669,15.266666666666667,1.6333333333333346,118.16264215332063,156.95263735018068,38.789995196860055,0.878392910559972
8,RIGHT,458,473,489,458,473,489,15.266666666666667,15.766666666666667,16.3,1.0333333333333332,55.108711485261054,142.66564105521303,87.55692956995198,0.8171734989931185
9,RIGHT,489,506,514,489,506,514,16.3,16.866666666666667,17.133333333333333,0.8333333333333321,33.281083813482525,164.89647021887095,131.61538640538842,0.8352766999831568
10,RIGHT,575,584,605,575,584,605,19.166666666666668,19.466666666666665,20.166666666666668,1.0,25.524723986260526,147.30796771107788,121.78324372481735,0.7935793470310907
11,RIGHT,605,619,645,605,619,645,20.166666666666668,20.633333333333333,21.5,1.3333333333333321,41.47844801092492,164.88966102052694,123.41121300960202,0.783654852126672
12,RIGHT,645,669,691,645,669,691,21.5,22.3,23.03333333333333,1.5333333333333314,122.18902296487894,157.0801735210283,34.89115055614937,0.8988705006897026
13,RIGHT,691,704,721,691,704,721,23.03333333333333,23.466666666666665,24.03333333333333,1.0,46.27161625322448,156.49635886736266,110.22474261413818,0.843396104792113
14,RIGHT,721,746,766,721,746,766,24.03333333333333,24.866666666666667,25.53333333333333,1.5,98.56321137392678,156.8457134117809,58.28250203785413,0.8238100029420161
15,RIGHT,766,788,811,766,788,811,25.53333333333333,26.266666666666666,27.03333333333333,1.5,113.8467569174757,163.39608790794952,49.54933099047382,0.9107053625410882
16,RIGHT,811,827,838,811,827,838,27.03333333333333,27.566666666666663,27.933333333333334,0.9000000000000021,34.27065129866618,142.12454742677713,107.85389612811095,0.7716013515988986
17,RIGHT,838,855,875,838,855,875,27.933333333333334,28.5,29.166666666666668,1.2333333333333343,72.30954325288305,159.58988070459898,87.28033745171594,0.7918366115344199
18,RIGHT,875,899,924,875,899,924,29.166666666666668,29.966666666666665,30.8,1.6333333333333329,115.88605410037137,163.0096606710458,47.123606570674426,0.9104072582721711
19,RIGHT,924,937,950,924,937,950,30.8,31.23333333333333,31.666666666666668,0.8666666666666671,46.28481591098354,157.06944103565868,110.78462512467515,0.8200374731311092
20,RIGHT,950,971,991,950,971,991,31.666666666666668,32.36666666666667,33.03333333333333,1.3666666666666636,41.69795253903651,140.00333654457197,98.30538400553546,0.7814187286865145
21,RIGHT,991,1014,1038,991,1014,1038,33.03333333333333,33.8,34.6,1.56666666666667,142.93120526611398,159.9435164373799,17.01231117126592,0.9074205660985576
