rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,RIGHT,65,95,185,65,95,185,2.1666666666666665,3.1666666666666665,6.166666666666667,4.0,69.58332148798384,152.40869163759731,82.82537014961348,0.9875204989373515
1,RIGHT,213,302,336,213,302,336,7.1,10.066666666666666,11.2,4.1,85.57661193355406,159.60760569605964,74.03099376250557,0.9964991354493685
2,RIGHT,336,359,380,336,359,380,11.2,11.966666666666669,12.666666666666666,1.4666666666666668,78.79244428923047,149.00953258304244,70.21708829381197,0.9930146857544229
3,RIGHT,380,395,411,380,395,411,12.666666666666666,13.166666666666666,13.7,1.0333333333333332,74.54214203730848,151.75529277364262,77.21315073633414,0.9937781735012928
4,RIGHT,411,427,441,411,427,441,13.7,14.233333333333333,14.7,1.0,48.3079475456485,143.0265816246867,94.71863407903821,0.9704016575249292
5,RIGHT,441,461,469,441,461,469,14.7,15.366666666666667,15.633333333333333,0.9333333333333336,27.520305363307813,133.6998288039819,106.17952344067407,0.9475559578544792
6,RIGHT,469,486,499,469,486,499,15.633333333333333,16.2,16.633333333333333,1.0,26.95366285240702,131.77943279906293,104.82576994665591,0.9763395106920634
7,RIGHT,499,514,531,499,514,531,16.633333333333333,17.133333333333333,17.7,1.0666666666666664,34.78840748045502,129.2699629361743,94.48155545571927,0.9781289973644296
8,RIGHT,531,551,567,531,551,567,17.7,18.366666666666667,18.9,1.1999999999999993,67.14694873489417,134.39089568446656,67.24394694957239,0.9824234193509764
9,RIGHT,567,577,592,567,577,592,18.9,19.23333333333333,19.73333333333333,0.8333333333333321,40.07582513516442,134.70370964276154,94.62788450759712,0.8779735158790242
10,RIGHT,592,608,615,592,608,615,19.73333333333333,20.266666666666666,20.5,0.7666666666666693,71.57876213664787,142.8131003728289,71.23433823618103,0.6053401529788971
11,RIGHT,651,667,678,651,667,678,21.7,22.23333333333333,22.6,0.9000000000000021,105.53050376684024,167.75756478254698,62.22706101570673,0.5601290925627663
12,RIGHT,678,700,709,678,700,709,22.6,23.33333333333333,23.633333333333333,1.0333333333333314,41.998547368980255,92.50972755159789,50.511180182617636,0.45196631201542914
13,RIGHT,769,787,835,769,787,835,25.633333333333333,26.23333333333333,27.83333333333333,2.1999999999999957,117.21163024555474,155.36986530423798,38.15823505868323,0.5675140147972287
14,RIGHT,835,863,878,835,863,878,27.83333333333333,28.766666666666666,29.266666666666666,1.4333333333333371,42.287931323062125,138.39505089685971,96.10711957379759,0.953958521738197
15,RIGHT,878,898,915,878,898,915,29.266666666666666,29.933333333333334,30.5,1.2333333333333343,45.54306713867146,136.88148983709104,91.33842269841958,0.9778171286248325
16,RIGHT,915,931,946,915,931,946,30.5,31.03333333333333,31.53333333333333,1.0333333333333314,42.87605410371998,133.4094010994649,90.53334699574492,0.9821393632640442
17,RIGHT,946,961,977,946,961,977,31.53333333333333,32.03333333333333,32.56666666666667,1.0333333333333385,33.36777785246949,131.04864076898036,97.68086291651088,0.9825110727300247
18,RIGHT,977,993,1009,977,993,1009,32.56666666666667,33.1,33.63333333333333,1.0666666666666629,28.70992292794803,127.18564729331965,98.47572436537162,0.9824741290073202
19,RIGHT,1009,1025,1043,1009,1025,1043,33.63333333333333,34.166666666666664,34.766666666666666,1.1333333333333329,26.383906757558634,125.69032843229647,99.30642167473783,0.9906915386517842
20,RIGHT,1043,1064,1087,1043,1064,1087,34.766666666666666,35.46666666666667,36.23333333333333,1.4666666666666615,36.87611360469526,130.19705430520878,93.32094070051352,0.9856436702940199
21,RIGHT,1087,1120,1211,1087,1120,1211,36.23333333333333,37.333333333333336,40.36666666666667,4.13333333333334,31.762069298539416,126.61994541692088,94.85787611838147,0.991058030605316
