rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,LEFT,59,89,173,59,89,173,1.9666666666666663,2.966666666666667,5.766666666666667,3.8000000000000003,88.7782527594402,123.64841536038013,34.87016260093992,0.9986133126245029
1,LEFT,260,297,332,260,297,332,8.666666666666666,9.9,11.066666666666666,2.4000000000000004,89.78234913599263,125.0121023936224,35.22975325762977,0.9986993956239256
2,LEFT,332,351,373,332,351,373,11.066666666666666,11.7,12.433333333333334,1.3666666666666671,79.10257670506351,120.75808095983251,41.655504254769,0.9986530187584106
3,LEFT,373,389,409,373,389,409,12.433333333333334,12.966666666666669,13.633333333333333,1.1999999999999993,69.61214684240099,115.943329525939,46.331182683538024,0.9986655057013575
4,LEFT,409,425,443,409,425,443,13.633333333333333,14.166666666666666,14.766666666666667,1.1333333333333346,68.25653504663592,114.54808468413488,46.29154963749895,0.9987316273507618
5,LEFT,443,459,477,443,459,477,14.766666666666667,15.3,15.9,1.1333333333333329,71.22274016151135,112.12712168396594,40.904381522454585,0.9982190887133279
6,LEFT,477,494,522,477,494,522,15.9,16.466666666666665,17.4,1.4999999999999982,63.500998108356924,103.47098179937005,39.96998369101313,0.9983366814212525
7,LEFT,522,551,647,522,551,647,17.4,18.366666666666667,21.566666666666663,4.166666666666664,83.16792096195641,118.75214534124484,35.58422437928843,0.9983268107371355
8,LEFT,697,748,779,697,748,779,23.23333333333333,24.933333333333334,25.966666666666665,2.7333333333333343,80.93872794042534,114.02536247801518,33.08663453758984,0.997952280992485
9,LEFT,779,799,822,779,799,822,25.966666666666665,26.633333333333333,27.4,1.4333333333333336,74.48168929571179,112.06636347943163,37.58467418371985,0.9981231996507355
10,LEFT,822,837,856,822,837,856,27.4,27.9,28.53333333333333,1.1333333333333329,83.09976776298618,121.76970389254757,38.6699361295614,0.997590364160992
11,LEFT,856,871,890,856,871,890,28.53333333333333,29.03333333333333,29.666666666666668,1.1333333333333364,75.36068276219189,114.9807433218367,39.62006055964482,0.9980189067976816
12,LEFT,890,906,926,890,906,926,29.666666666666668,30.2,30.866666666666667,1.1999999999999993,84.17185008353175,122.20354090475034,38.03169082121858,0.9981984834413271
13,LEFT,926,944,973,926,944,973,30.866666666666667,31.466666666666665,32.43333333333333,1.5666666666666629,100.77433696087613,134.53313722316256,33.75880026228643,0.9981905317140951
14,LEFT,973,1006,1057,973,1006,1057,32.43333333333333,33.53333333333333,35.233333333333334,2.8000000000000043,106.74164100785066,137.27555647629632,30.533915468445652,0.997468353252785
