rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,LEFT,31,53,110,31,53,110,1.0333333333333334,1.7666666666666666,3.6666666666666665,2.633333333333333,139.36128053161735,178.7146353679001,39.35335483628272,0.975806427995364
1,LEFT,158,216,248,158,216,248,5.266666666666667,7.2,8.266666666666667,3.000000000000001,140.99041798907803,178.93967823844673,37.949260249368706,0.9764198532034626
2,LEFT,248,268,287,248,268,287,8.266666666666667,8.933333333333334,9.566666666666666,1.299999999999999,128.10286167390126,178.3691612584853,50.26629958458405,0.9804760684569678
3,LEFT,287,303,320,287,303,320,9.566666666666666,10.1,10.666666666666666,1.0999999999999996,121.83065638832923,178.1399570893504,56.30930070102115,0.969611141611548
4,LEFT,320,336,354,320,336,354,10.666666666666666,11.2,11.8,1.1333333333333346,116.58196595231769,177.2498577268524,60.667891774534716,0.9686995375724065
5,LEFT,354,372,399,354,372,399,11.8,12.4,13.3,1.5,128.26658595851487,178.11776024112953,49.851174282614664,0.9774335139039634
6,LEFT,399,445,489,399,445,489,13.3,14.833333333333334,16.3,3.0,143.3224020461572,179.76483289816167,36.44243085200445,0.9715476435619395
7,LEFT,569,594,617,569,594,617,18.966666666666665,19.8,20.566666666666663,1.5999999999999979,131.6722796818343,178.61684890947907,46.94456922764478,0.9733572796899446
8,LEFT,617,634,651,617,634,651,20.566666666666663,21.133333333333333,21.7,1.1333333333333364,117.24577481357841,178.82625738685599,61.58048257327758,0.9698512820970444
9,LEFT,651,667,685,651,667,685,21.7,22.23333333333333,22.83333333333333,1.1333333333333293,119.24235440659177,177.81199524628698,58.56964083969522,0.9713629291171121
10,LEFT,685,702,721,685,702,721,22.83333333333333,23.4,24.03333333333333,1.2000000000000028,121.14606028208581,178.56166651668707,57.41560623460125,0.9723064142304498
11,LEFT,721,750,788,721,750,788,24.03333333333333,25.0,26.266666666666666,2.2333333333333343,137.51907964286056,179.3302414488179,41.811161805957354,0.976596424684805
