rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,LEFT,95,126,169,95,126,169,3.1666666666666665,4.2,5.633333333333334,2.4666666666666672,85.85336669785025,123.20207073601031,37.34870403816007,0.9986106001006234
1,LEFT,169,199,242,169,199,242,5.633333333333334,6.633333333333334,8.066666666666666,2.4333333333333327,89.99940915158169,124.22401899570605,34.22460984412436,0.9986619573455673
2,LEFT,242,273,312,242,273,312,8.066666666666666,9.1,10.4,2.333333333333334,85.47951778235253,122.9157228503419,37.436205067989356,0.998368992212233
3,LEFT,312,342,386,312,342,386,10.4,11.4,12.866666666666667,2.466666666666667,79.28798101831268,122.71077863651857,43.42279761820589,0.9984171138869391
4,LEFT,386,415,454,386,415,454,12.866666666666667,13.833333333333334,15.133333333333333,2.2666666666666657,80.27259708970988,121.24222944417555,40.96963235446567,0.9982353287618516
5,LEFT,454,483,519,454,483,519,15.133333333333333,16.1,17.3,2.166666666666668,80.86949334077354,118.22722371498112,37.35773037420757,0.9981543629458458
6,LEFT,519,546,583,519,546,583,17.3,18.2,19.433333333333334,2.133333333333333,74.13201830936961,110.16837762609481,36.0363593167252,0.998539143647903
7,LEFT,583,609,646,583,609,646,19.433333333333334,20.3,21.53333333333333,2.099999999999998,84.97073837043553,121.30049708504963,36.32975871461411,0.998532500738899
8,LEFT,646,675,710,646,675,710,21.53333333333333,22.5,23.666666666666668,2.1333333333333364,76.81013587609212,111.49166980232927,34.68153392623715,0.9978790735587098
9,LEFT,710,736,778,710,736,778,23.666666666666668,24.53333333333333,25.933333333333334,2.2666666666666657,77.3149655112974,113.63007020571054,36.31510469441313,0.9980260041600839
10,LEFT,778,805,845,778,805,845,25.933333333333334,26.83333333333333,28.166666666666668,2.2333333333333343,93.10614409064274,128.8462634941986,35.74011940355586,0.9980780856282104
11,LEFT,845,877,915,845,877,915,28.166666666666668,29.23333333333333,30.5,2.333333333333332,86.20597557988515,123.24235715103073,37.03638157114559,0.9982626947438775
12,LEFT,915,943,984,915,943,984,30.5,31.433333333333334,32.8,2.299999999999997,93.84199625922224,129.73437925165547,35.89238299243323,0.9981654760383425
13,LEFT,984,1016,1058,984,1016,1058,32.8,33.86666666666667,35.266666666666666,2.4666666666666686,109.22153709788083,140.14360617044443,30.922069072563605,0.9981055792172749
