rep_id,side,start_idx,peak_idx,end_idx,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,rep_duration,rom_deg,elbow_start_deg,elbow_peak_deg,mean_vis_arm
0,LEFT,51,81,114,51,81,114,1.7,2.7,3.8,2.0999999999999996,142.23319996694136,179.17492342292942,36.94172345598806,0.9760189826289812
1,LEFT,114,142,177,114,142,177,3.8,4.733333333333333,5.9,2.1000000000000005,139.72317818998252,179.20608901449327,39.48291082451075,0.97484129263709
2,LEFT,177,208,242,177,208,242,5.9,6.933333333333334,8.066666666666666,2.166666666666666,138.05257227111412,178.83459857102446,40.782026299910356,0.9827558891941803
3,LEFT,242,275,309,242,275,309,8.066666666666666,9.166666666666666,10.3,2.2333333333333343,141.0677256438195,179.63860198113963,38.570876337320136,0.9742480539808087
4,LEFT,309,342,379,309,342,379,10.3,11.4,12.633333333333333,2.333333333333332,136.70371425354904,179.29246734461248,42.588753091063445,0.9703633855206305
5,LEFT,379,410,447,379,410,447,12.633333333333333,13.666666666666666,14.9,2.2666666666666675,135.8256469945928,179.70461045925492,43.87896346466213,0.979846144931904
6,LEFT,447,480,510,447,480,510,14.9,16.0,17.0,2.0999999999999996,138.88181984447104,179.3795048048895,40.49768496041847,0.9805608928824464
7,LEFT,510,542,575,510,542,575,17.0,18.066666666666663,19.166666666666668,2.166666666666668,136.4952689018088,178.07449944015613,41.57923053834732,0.9735459658232603
8,LEFT,575,608,640,575,608,640,19.166666666666668,20.266666666666666,21.33333333333333,2.1666666666666607,132.40876408839628,179.01968253714696,46.61091844875068,0.9702524443467458
9,LEFT,640,675,712,640,675,712,21.33333333333333,22.5,23.73333333333333,2.400000000000002,137.47358265594045,179.59477949720693,42.12119684126648,0.9727752739436006
10,LEFT,712,743,781,712,743,781,23.73333333333333,24.766666666666666,26.03333333333333,2.3000000000000007,136.384493477852,179.280301516903,42.89580803905098,0.9746423724151795
11,LEFT,781,816,849,781,816,849,26.03333333333333,27.2,28.3,2.2666666666666693,139.81596839831124,179.47467632642358,39.658707928112335,0.9761888220690297
