frame,time_sec,lm23_x,lm23_y,lm23_z,lm23_vis,lm24_x,lm24_y,lm24_z,lm24_vis,lm11_x,lm11_y,lm11_z,lm11_vis,lm12_x,lm12_y,lm12_z,lm12_vis,lm13_x,lm13_y,lm13_z,lm13_vis,lm14_x,lm14_y,lm14_z,lm14_vis,lm15_x,lm15_y,lm15_z,lm15_vis,lm16_x,lm16_y,lm16_z,lm16_vis
0,0.0,0.5112844109535217,0.6355239152908325,-0.0721493810415268,0.9961038827896118,0.46289023756980896,0.6257796287536621,0.0721881315112114,0.9953623414039612,0.5382236838340759,0.3466038703918457,-0.35334962606430054,0.9994139671325684,0.45007187128067017,0.3416033983230591,-0.07950315624475479,0.9966433048248291,0.5399752855300903,0.5335549116134644,-0.38545238971710205,0.9848361611366272,0.4354909062385559,0.5311836004257202,-0.03309837728738785,0.6343339085578918,0.5317065715789795,0.71373051404953,-0.3735025227069855,0.9655292630195618,0.41141748428344727,0.6752917170524597,-0.10741168260574341,0.8395509719848633
1,0.03333333333333333,0.5176413655281067,0.6565817594528198,-0.07307468354701996,0.9964673519134521,0.4619237780570984,0.6514068841934204,0.07315466552972794,0.9957635402679443,0.5381486415863037,0.3418259620666504,-0.24825742840766907,0.999468207359314,0.450128972530365,0.3387927711009979,0.05831368640065193,0.9968968629837036,0.5412378311157227,0.5328393578529358,-0.2558665871620178,0.9860200881958008,0.4379726052284241,0.5303916931152344,0.14597411453723907,0.6497340202331543,0.5334747433662415,0.713327169418335,-0.2873367667198181,0.9685354232788086,0.4110663831233978,0.6751497983932495,0.032945673912763596,0.8497127890586853
2,0.06666666666666667,0.5194178819656372,0.6667706370353699,-0.07420627027750015,0.9968112707138062,0.46116119623184204,0.66193026304245,0.07431306689977646,0.9961626529693604,0.5381957292556763,0.34057357907295227,-0.2343766987323761,0.9995195269584656,0.4515021741390228,0.33510199189186096,0.08119213581085205,0.9971622228622437,0.5431849956512451,0.5327353477478027,-0.2415679693222046,0.9872493743896484,0.4406428337097168,0.5278431177139282,0.16882948577404022,0.6667717099189758,0.5342654585838318,0.713330864906311,-0.2721942067146301,0.9714897274971008,0.4110298752784729,0.6744402647018433,0.05183911323547363,0.8608614802360535
3,0.1,0.519842267036438,0.6717435717582703,-0.08549444377422333,0.9971150159835815,0.46030133962631226,0.6670302748680115,0.08562116324901581,0.996508777141571,0.5382933020591736,0.3402402102947235,-0.24991095066070557,0.9995661377906799,0.45358332991600037,0.3329061269760132,0.10299055278301239,0.9974048733711243,0.5442686676979065,0.5331376194953918,-0.2767912745475769,0.9883373975753784,0.4436038136482239,0.5257979035377502,0.18960466980934143,0.6760533452033997,0.5342575907707214,0.712947428226471,-0.3093266487121582,0.9741507172584534,0.41103488206863403,0.6730652451515198,0.07039277255535126,0.8705891966819763
4,0.13333333333333333,0.5204781293869019,0.6732328534126282,-0.08572793006896973,0.997394323348999,0.4602777063846588,0.6696126461029053,0.08586330711841583,0.9968309998512268,0.538561224937439,0.34002378582954407,-0.2361563742160797,0.9996088147163391,0.45501622557640076,0.33054929971694946,0.11558578163385391,0.9976325631141663,0.5452184081077576,0.5327059626579285,-0.254202663898468,0.9893397688865662,0.44555431604385376,0.5235835313796997,0.21169814467430115,0.6817110180854797,0.5340385437011719,0.7089599967002869,-0.2851915955543518,0.9765621423721313,0.4110628068447113,0.6692752242088318,0.09627791494131088,0.8787832856178284
5,0.16666666666666666,0.5209134817123413,0.6792651414871216,-0.08440326154232025,0.9976418614387512,0.45999425649642944,0.6746436357498169,0.08452822268009186,0.9971137642860413,0.538792610168457,0.34008947014808655,-0.2297440767288208,0.9996469616889954,0.4554552435874939,0.33065229654312134,0.12054449319839478,0.997840166091919,0.5468527674674988,0.5315549373626709,-0.265758752822876,0.9901807904243469,0.447059690952301,0.523284375667572,0.22849977016448975,0.6858330368995667,0.533710777759552,0.6975759267807007,-0.3040730655193329,0.9786598682403564,0.41168203949928284,0.6639893054962158,0.12094634771347046,0.8862805366516113
6,0.2,0.5226222276687622,0.6824620366096497,-0.07754386216402054,0.9978674650192261,0.45990967750549316,0.6810815334320068,0.07768954336643219,0.9973766207695007,0.5390697717666626,0.3401370048522949,-0.2038719207048416,0.9996802806854248,0.45532387495040894,0.3317457437515259,0.11412081867456436,0.9980129599571228,0.5470753312110901,0.5314886569976807,-0.2250666320323944,0.990781307220459,0.4476340413093567,0.5238405466079712,0.21863457560539246,0.6898693442344666,0.5323975682258606,0.6947200298309326,-0.27152594923973083,0.9803871512413025,0.41133737564086914,0.6601102352142334,0.10873013734817505,0.8933759331703186
7,0.23333333333333334,0.5233659744262695,0.6815713047981262,-0.0662059336900711,0.9980719089508057,0.45991984009742737,0.6796114444732666,0.06633515655994415,0.997616708278656,0.5395074486732483,0.3402020037174225,-0.18969862163066864,0.999710202217102,0.45493283867836,0.33196353912353516,0.10615666955709457,0.9981616139411926,0.5468971133232117,0.5312598347663879,-0.19677850604057312,0.9913680553436279,0.4478049874305725,0.5239566564559937,0.20542792975902557,0.6944795250892639,0.5310420989990234,0.6936906576156616,-0.23813381791114807,0.9819996953010559,0.41062745451927185,0.6581824421882629,0.08930075913667679,0.8997385501861572
8,0.26666666666666666,0.5247182250022888,0.6813442707061768,-0.06459437310695648,0.9982483386993408,0.4606662392616272,0.6804839968681335,0.06472144275903702,0.9978142976760864,0.5395575165748596,0.34022682905197144,-0.2027290165424347,0.999735951423645,0.45501509308815,0.33211055397987366,0.09632108360528946,0.9982714056968689,0.5473645329475403,0.5311422348022461,-0.20111756026744843,0.991864800453186,0.4490712583065033,0.5240011215209961,0.20626318454742432,0.689042329788208,0.526168167591095,0.6929619908332825,-0.24081537127494812,0.983361005783081,0.41019558906555176,0.6511809825897217,0.09112319350242615,0.9026731252670288
9,0.3,0.525114893913269,0.6808239221572876,-0.06400274485349655,0.9983975291252136,0.4615418314933777,0.6785886883735657,0.06414607167243958,0.9979665279388428,0.5395642518997192,0.34007948637008667,-0.20102421939373016,0.9997588992118835,0.45586466789245605,0.332086443901062,0.10517656803131104,0.9983394145965576,0.5482514500617981,0.5311383605003357,-0.1929975301027298,0.9923456311225891,0.44938531517982483,0.5224242210388184,0.22375372052192688,0.6785712242126465,0.5213961005210876,0.6851900219917297,-0.21541540324687958,0.9846289753913879,0.40842205286026,0.6432666182518005,0.11408089101314545,0.9030616283416748
